feature,importance
tfidf_www.s,0.5358076691627502
tfidf_tion,0.5316389203071594
number_of_digits_in_domain,0.5172802805900574
tfidf_http,0.5127597451210022
tfidf_ww.,0.5042827725410461
tfidf_ttp,0.48418405652046204
tfidf_ubu,0.473388671875
tfidf_ist,0.46605682373046875
tfidf_ion,0.45429936051368713
tfidf_htt,0.4542723596096039
tfidf_str,0.4435512125492096
tfidf_tio,0.4362860918045044
tfidf_.com,0.4098377823829651
entropy_of_url,0.4088984429836273
tfidf_buse,0.406494140625
tfidf_://w,0.379621684551239
tfidf_tent.,0.35284423828125
tfidf_downl,0.3336181640625
tfidf_tps:,0.32911217212677
tfidf_nloa,0.325927734375
tfidf_tp://,0.3186676502227783
tfidf_://ww,0.29816967248916626
tfidf_are,0.28235483169555664
tfidf_nt.co,0.2771809995174408
tfidf_ttps,0.27651768922805786
having_special_characters_in_domain,0.26901254057884216
tfidf_serco,0.268798828125
tfidf_www,0.20710404217243195
tfidf_con,0.20556640625
tfidf_rcont,0.1964518278837204
tfidf_soft,0.13270950317382812
tfidf_/01,0.0
tfidf_/01/,0.0
tfidf_/17,0.0
tfidf_/177,0.0
tfidf_/177.,0.0
tfidf_/20,0.0
tfidf_/202,0.0
tfidf_/bl,0.0
tfidf_/blo,0.0
tfidf_/blob,0.0
tfidf_/ca,0.0
tfidf_/co,0.0
tfidf_/con,0.0
tfidf_/de,0.0
tfidf_/do,0.0
tfidf_/dow,0.0
tfidf_/down,0.0
tfidf_/gi,0.0
tfidf_/go,0.0
tfidf_/go/,0.0
tfidf_/im,0.0
tfidf_/img,0.0
tfidf_/img1,0.0
tfidf_/in,0.0
tfidf_/inf,0.0
tfidf_/info,0.0
tfidf_/ma,0.0
tfidf_/mai,0.0
tfidf_/main,0.0
tfidf_/ra,0.0
tfidf_/raw,0.0
tfidf_/raw.,0.0
tfidf_/re,0.0
tfidf_/so,0.0
tfidf_/sof,0.0
tfidf_/soft,0.0
tfidf_/tm,0.0
tfidf_/tmp,0.0
tfidf_/tmpf,0.0
tfidf_0.1,0.0
tfidf_0.10,0.0
tfidf_0.102,0.0
tfidf_0/t,0.0
tfidf_0/tm,0.0
tfidf_0/tmp,0.0
tfidf_000,0.0
tfidf_0000,0.0
tfidf_00000,0.0
tfidf_01/,0.0
tfidf_02.,0.0
tfidf_02.2,0.0
tfidf_02.22,0.0
tfidf_025,0.0
tfidf_070,0.0
tfidf_070/,0.0
tfidf_070/t,0.0
tfidf_1.w,0.0
tfidf_1.ws,0.0
tfidf_1.wsi,0.0
tfidf_102,0.0
tfidf_102.,0.0
tfidf_102.2,0.0
tfidf_177,0.0
tfidf_177.,0.0
tfidf_177.7,0.0
tfidf_2.2,0.0
tfidf_2.22,0.0
tfidf_2.228,0.0
tfidf_202,0.0
tfidf_228,0.0
tfidf_228:,0.0
tfidf_228:8,0.0
tfidf_28:,0.0
tfidf_28:8,0.0
tfidf_28:80,0.0
tfidf_3%a,0.0
tfidf_3%a3,0.0
tfidf_3%a3o,0.0
tfidf_3%a7,0.0
tfidf_3%a7%,0.0
tfidf_3o/,0.0
tfidf_7%c,0.0
tfidf_7%c3,0.0
tfidf_7%c3%,0.0
tfidf_7.7,0.0
tfidf_7.70,0.0
tfidf_7.70.,0.0
tfidf_70.,0.0
tfidf_70.1,0.0
tfidf_70.10,0.0
tfidf_70/,0.0
tfidf_70/t,0.0
tfidf_70/tm,0.0
tfidf_77.,0.0
tfidf_77.7,0.0
tfidf_77.70,0.0
tfidf_807,0.0
tfidf_8070,0.0
tfidf_8070/,0.0
tfidf_8:8,0.0
tfidf_8:80,0.0
tfidf_8:807,0.0
tfidf_://1,0.0
tfidf_://17,0.0
tfidf_://2,0.0
tfidf_://a,0.0
tfidf_://d,0.0
tfidf_://g,0.0
tfidf_://i,0.0
tfidf_://im,0.0
tfidf_://m,0.0
tfidf_://r,0.0
tfidf_://ra,0.0
tfidf_://t,0.0
tfidf_:80,0.0
tfidf_:807,0.0
tfidf_:8070,0.0
tfidf_a.c,0.0
tfidf_a.co,0.0
tfidf_a3o,0.0
tfidf_a3o/,0.0
tfidf_a7%,0.0
tfidf_a7%c,0.0
tfidf_a7%c3,0.0
tfidf_ads,0.0
tfidf_ads/,0.0
tfidf_age,0.0
tfidf_ain,0.0
tfidf_ain/,0.0
tfidf_ain/s,0.0
tfidf_ame,0.0
tfidf_anc,0.0
tfidf_and,0.0
tfidf_art,0.0
tfidf_ase,0.0
tfidf_ass,0.0
tfidf_ate,0.0
tfidf_aw.,0.0
tfidf_aw.g,0.0
tfidf_aw.gi,0.0
tfidf_b.c,0.0
tfidf_bby,0.0
tfidf_bby/,0.0
tfidf_bby/g,0.0
tfidf_blo,0.0
tfidf_blob,0.0
tfidf_blobb,0.0
tfidf_bus,0.0
tfidf_buser,0.0
tfidf_by/,0.0
tfidf_by/g,0.0
tfidf_by/go,0.0
tfidf_c3%,0.0
having_repeated_digits_in_url,0.0
tfidf_c3%a3,0.0
tfidf_c3%a7,0.0
tfidf_che,0.0
tfidf_co.,0.0
tfidf_use,0.0
number_of_special_characters_in_domain,0.0
tfidf_com/b,0.0
number_of_underline_in_url,0.0
tfidf_cons,0.0
tfidf_cont,0.0
tfidf_conte,0.0
tfidf_dow,0.0
tfidf_down,0.0
number_of_questionmark_in_url,0.0
tfidf_ds/,0.0
number_of_equal_in_url,0.0
tfidf_e.co,0.0
number_of_at_in_url,0.0
tfidf_ect,0.0
number_of_dollar_in_url,0.0
tfidf_ent.,0.0
tfidf_ent.c,0.0
tfidf_er.,0.0
tfidf_er/,0.0
tfidf_era,0.0
number_of_exclamation_in_url,0.0
number_of_hashtag_in_url,0.0
number_of_percent_in_url,0.0
tfidf_es/,0.0
tfidf_est,0.0
tfidf_fo.,0.0
tfidf_fo.z,0.0
tfidf_fo.zi,0.0
tfidf_ftp,0.0
tfidf_ftp/,0.0
tfidf_ftp/0,0.0
tfidf_wnl,0.0
having_dot_in_subdomain,0.0
tfidf_ftwar,0.0
tfidf_g.c,0.0
tfidf_g.co,0.0
tfidf_g.com,0.0
tfidf_g1.,0.0
tfidf_g1.w,0.0
tfidf_g1.ws,0.0
average_number_of_dots_in_subdomain,0.0
tfidf_gith,0.0
tfidf_githu,0.0
tfidf_go/,0.0
tfidf_hea,0.0
having_special_characters_in_subdomain,0.0
number_of_special_characters_in_subdomain,0.0
having_repeated_digits_in_subdomain,0.0
having_query,0.0
tfidf_hub,0.0
tfidf_hub.,0.0
tfidf_hubu,0.0
tfidf_hubus,0.0
tfidf_img,0.0
tfidf_img.,0.0
tfidf_img.c,0.0
tfidf_img1,0.0
tfidf_img1.,0.0
tfidf_in/,0.0
tfidf_in/s,0.0
having_fragment,0.0
tfidf_inf,0.0
tfidf_info,0.0
tfidf_info.,0.0
tfidf_ing,0.0
having_anchor,0.0
has_suspicious_word,0.0
tfidf_ith,0.0
tfidf_ithu,0.0
tfidf_ithub,0.0
uses_shortener,0.0
tfidf_%20,0.0
tfidf_loa,0.0
tfidf_load,0.0
tfidf_loads,0.0
tfidf_lob,0.0
tfidf_lobb,0.0
tfidf_lobby,0.0
tfidf_lta,0.0
tfidf_m/b,0.0
tfidf_m/bl,0.0
tfidf_m/blo,0.0
tfidf_mai,0.0
tfidf_main,0.0
tfidf_main/,0.0
tfidf_man,0.0
tfidf_men,0.0
tfidf_ment,0.0
tfidf_mg.,0.0
tfidf_mg.c,0.0
tfidf_mg.co,0.0
tfidf_mg1,0.0
tfidf_mg1.,0.0
tfidf_mg1.w,0.0
tfidf_mpf,0.0
tfidf_mpft,0.0
tfidf_mpftp,0.0
tfidf_%a3,0.0
tfidf_%a3o,0.0
tfidf_%a3o/,0.0
tfidf_n/s,0.0
tfidf_nce,0.0
tfidf_%a7,0.0
tfidf_nfo,0.0
tfidf_nfo.,0.0
tfidf_nfo.z,0.0
tfidf_nlo,0.0
tfidf_%a7%,0.0
tfidf_nload,0.0
tfidf_%a7%c,0.0
tfidf_nt.,0.0
tfidf_nt.c,0.0
tfidf_%c3,0.0
tfidf_nte,0.0
tfidf_nten,0.0
tfidf_ntent,0.0
tfidf_o.z,0.0
tfidf_o.zi,0.0
tfidf_o.zip,0.0
tfidf_o/2,0.0
tfidf_o/20,0.0
tfidf_o/202,0.0
tfidf_oad,0.0
tfidf_oads,0.0
tfidf_oads/,0.0
tfidf_obb,0.0
tfidf_obby,0.0
tfidf_obby/,0.0
tfidf_oft,0.0
tfidf_oftw,0.0
tfidf_oftwa,0.0
tfidf_%c3%,0.0
tfidf_%c3%a,0.0
tfidf_om/bl,0.0
tfidf_ons,0.0
tfidf_ont,0.0
tfidf_onte,0.0
tfidf_onten,0.0
tfidf_.10,0.0
tfidf_own,0.0
tfidf_ownl,0.0
tfidf_ownlo,0.0
tfidf_p/0,0.0
tfidf_p/01,0.0
tfidf_p/01/,0.0
tfidf_.102,0.0
tfidf_.102.,0.0
tfidf_p://1,0.0
tfidf_p://2,0.0
tfidf_p://w,0.0
tfidf_pdf,0.0
tfidf_pft,0.0
tfidf_pftp,0.0
tfidf_pftp/,0.0
tfidf_.22,0.0
tfidf_.228,0.0
tfidf_.228:,0.0
tfidf_.23,0.0
tfidf_r.c,0.0
tfidf_raw,0.0
tfidf_raw.,0.0
tfidf_raw.g,0.0
tfidf_rco,0.0
tfidf_rcon,0.0
tfidf_.70,0.0
tfidf_.70.,0.0
tfidf_.70.1,0.0
tfidf_.gi,0.0
tfidf_s/m,0.0
tfidf_s/ma,0.0
tfidf_s/mai,0.0
tfidf_.git,0.0
tfidf_.gith,0.0
tfidf_s://a,0.0
tfidf_s://c,0.0
tfidf_s://g,0.0
tfidf_.go,0.0
tfidf_s://m,0.0
tfidf_s://r,0.0
tfidf_s://s,0.0
tfidf_.ne,0.0
tfidf_ser,0.0
tfidf_serc,0.0
tfidf_.org,0.0
tfidf_sim,0.0
tfidf_simg,0.0
tfidf_simg.,0.0
tfidf_sof,0.0
tfidf_.pd,0.0
tfidf_softw,0.0
tfidf_sta,0.0
tfidf_ste,0.0
tfidf_.pdf,0.0
tfidf_sul,0.0
tfidf_t.c,0.0
tfidf_t.co,0.0
tfidf_t.com,0.0
tfidf_ta%,0.0
tfidf_ten,0.0
tfidf_tent,0.0
tfidf_c3%a,0.0
tfidf_ter,0.0
tfidf_the,0.0
tfidf_thu,0.0
tfidf_thub,0.0
tfidf_thubu,0.0
tfidf_.wsi,0.0
tfidf_.wsim,0.0
tfidf_tmp,0.0
tfidf_tmpf,0.0
tfidf_tmpft,0.0
tfidf_tor,0.0
tfidf_tp/,0.0
tfidf_tp/0,0.0
tfidf_tp/01,0.0
tfidf_tp:,0.0
tfidf_tp:/,0.0
tfidf_.zi,0.0
tfidf_.zip,0.0
tfidf_//1,0.0
tfidf_tps:/,0.0
tfidf_tra,0.0
tfidf_tri,0.0
tfidf_ts/,0.0
tfidf_//17,0.0
tfidf_ttp:,0.0
tfidf_ttp:/,0.0
tfidf_//177,0.0
tfidf_ttps:,0.0
tfidf_//2,0.0
tfidf_//a,0.0
tfidf_tware,0.0
tfidf_ub.,0.0
tfidf_//d,0.0
tfidf_ubus,0.0
tfidf_ubuse,0.0
tfidf_ult,0.0
tfidf_wnlo,0.0
tfidf_user,0.0
tfidf_userc,0.0
tfidf_v1.,0.0
tfidf_v2.,0.0
tfidf_ver,0.0
tfidf_//g,0.0
tfidf_//im,0.0
tfidf_w.g,0.0
tfidf_w.gi,0.0
tfidf_w.git,0.0
tfidf_//img,0.0
tfidf_war,0.0
tfidf_ware,0.0
tfidf_web,0.0
tfidf_zip,0.0
number_of_special_char_in_url,0.0
tfidf_wnloa,0.0
tfidf_wsi,0.0
tfidf_wsim,0.0
tfidf_wsimg,0.0
tfidf_//m,0.0
tfidf_ww.c,0.0
tfidf_//r,0.0
tfidf_//ra,0.0
tfidf_//raw,0.0
tfidf_www.c,0.0
tfidf_//t,0.0
tfidf_y/g,0.0
tfidf_y/go,0.0
tfidf_y/go/,0.0
tfidf_om/b,0.0
